Player,Nation,Pos,Gls,Ast,MP,CrdY,CrdR,Squad
David Raya,ESP,GK,0.0,0.0,38,3.0,0.0,Arsenal
William Saliba,FRA,DF,2.0,0.0,35,2.0,1.0,Arsenal
Declan Rice,ENG,MF,4.0,7.0,35,7.0,1.0,Arsenal
Thomas Partey,GHA,"MF,DF",4.0,2.0,35,4.0,0.0,Arsenal
Leandro Trossard,BEL,FW,8.0,7.0,38,4.0,1.0,Arsenal
Gabriel Magalhães,BRA,DF,3.0,1.0,28,4.0,0.0,Arsenal
Jurriën Timber,NED,DF,1.0,3.0,30,7.0,0.0,Arsenal
Martin Ødegaard,NOR,MF,3.0,8.0,30,4.0,0.0,Arsenal
Gabriel Martinelli,BRA,"FW,MF",8.0,4.0,33,1.0,0.0,Arsenal
Kai Havertz,GER,"FW,MF",9.0,3.0,23,5.0,0.0,Arsenal
Bukayo Saka,ENG,"FW,MF",6.0,10.0,25,3.0,0.0,Arsenal
Mikel Merino,ESP,"MF,FW",7.0,2.0,28,4.0,1.0,Arsenal
Myles Lewis-Skelly,ENG,DF,1.0,0.0,23,3.0,2.0,Arsenal
Ben White,ENG,DF,0.0,2.0,17,2.0,0.0,Arsenal
Riccardo Calafiori,ITA,DF,2.0,1.0,19,4.0,0.0,Arsenal
Ethan Nwaneri,ENG,"FW,MF",4.0,2.0,26,1.0,0.0,Arsenal
Jakub Kiwior,POL,DF,1.0,0.0,17,1.0,0.0,Arsenal
Jorginho,ITA,MF,0.0,0.0,15,5.0,0.0,Arsenal
Raheem Sterling,ENG,"FW,MF",0.0,2.0,17,1.0,0.0,Arsenal
Gabriel Jesus,BRA,FW,3.0,0.0,17,4.0,0.0,Arsenal
Oleksandr Zinchenko,UKR,"DF,MF",0.0,1.0,15,1.0,0.0,Arsenal
Kieran Tierney,SCO,"DF,FW",1.0,0.0,13,0.0,0.0,Arsenal
Nathan Butler-Oyedeji,ENG,FW,0.0,0.0,1,0.0,0.0,Arsenal
Takehiro Tomiyasu,JPN,DF,0.0,0.0,1,0.0,0.0,Arsenal
Reiss Nelson,ENG,FW,0.0,0.0,1,0.0,0.0,Arsenal
Brayden Clarke,WAL,DF,0.0,0.0,0,0.0,0.0,Arsenal
Jimi Gower,ENG,MF,0.0,0.0,0,0.0,0.0,Arsenal
Ayden Heaven,ENG,DF,0.0,0.0,0,0.0,0.0,Arsenal
Jack Henry-Francis,IRL,MF,0.0,0.0,0,0.0,0.0,Arsenal
Ismeal Kabia,ENG,MF,0.0,0.0,0,0.0,0.0,Arsenal
Maldini Kacurri,ALB,DF,0.0,0.0,0,0.0,0.0,Arsenal
Neto,BRA,GK,0.0,0.0,0,0.0,0.0,Arsenal
Josh Nichols,ENG,DF,0.0,0.0,0,0.0,0.0,Arsenal
Eddie Nketiah,ENG,FW,0.0,0.0,0,0.0,0.0,Arsenal
Salah Oulad M'Hand,NED,MF,0.0,0.0,0,0.0,0.0,Arsenal
Jack Porter,ENG,GK,0.0,0.0,0,0.0,0.0,Arsenal
Aaron Ramsdale,ENG,GK,0.0,0.0,0,0.0,0.0,Arsenal
Tommy Setford,ENG,GK,0.0,0.0,0,0.0,0.0,Arsenal
Emiliano Martínez,ARG,GK,0.0,0.0,37,5.0,1.0,Aston Villa
Morgan Rogers,ENG,"FW,MF",8.0,10.0,37,10.0,0.0,Aston Villa
Youri Tielemans,BEL,MF,3.0,7.0,36,4.0,0.0,Aston Villa
Ezri Konsa,ENG,DF,2.0,0.0,34,1.0,0.0,Aston Villa
Ollie Watkins,ENG,FW,16.0,8.0,38,2.0,0.0,Aston Villa
Lucas Digne,FRA,DF,0.0,4.0,32,4.0,0.0,Aston Villa
John McGinn,SCO,"MF,FW",1.0,4.0,34,7.0,0.0,Aston Villa
Matty Cash,POL,DF,1.0,1.0,27,7.0,0.0,Aston Villa
Pau Torres,ESP,DF,0.0,0.0,24,2.0,0.0,Aston Villa
Boubacar Kamara,FRA,MF,1.0,0.0,26,2.0,0.0,Aston Villa
Amadou Onana,BEL,MF,3.0,0.0,26,4.0,0.0,Aston Villa
Jacob Ramsey,ENG,"FW,MF",1.0,3.0,29,4.0,1.0,Aston Villa
Leon Bailey,JAM,"FW,MF",1.0,2.0,24,3.0,0.0,Aston Villa
Tyrone Mings,ENG,DF,0.0,0.0,14,1.0,0.0,Aston Villa
Ian Maatsen,NED,DF,1.0,2.0,29,2.0,0.0,Aston Villa
Marco Asensio,ESP,MF,3.0,1.0,13,2.0,0.0,Aston Villa
Diego Carlos,BRA,DF,0.0,0.0,10,1.0,0.0,Aston Villa
Axel Disasi,FRA,DF,0.0,0.0,7,2.0,0.0,Aston Villa
Lamare Bogarde,NED,"DF,MF",0.0,0.0,8,2.0,0.0,Aston Villa
Andrés García,ESP,"DF,MF",0.0,0.0,7,0.0,0.0,Aston Villa
Jáder Durán,COL,FW,7.0,0.0,20,3.0,1.0,Aston Villa
Marcus Rashford,ENG,FW,2.0,2.0,10,0.0,0.0,Aston Villa
Ross Barkley,ENG,MF,3.0,1.0,20,3.0,0.0,Aston Villa
Jaden Philogene Bidace,ENG,"FW,MF",0.0,0.0,11,4.0,1.0,Aston Villa
Donyell Malen,NED,FW,3.0,0.0,14,0.0,0.0,Aston Villa
Robin Olsen,SWE,GK,0.0,0.0,4,0.0,0.0,Aston Villa
Kosta Nedeljković,SRB,DF,0.0,0.0,5,0.0,0.0,Aston Villa
Emi Buendía,ARG,"MF,FW",0.0,0.0,12,1.0,0.0,Aston Villa
Benjamin Broggio,ENG,FW,0.0,0.0,0,0.0,0.0,Aston Villa
Joe Gauci,AUS,GK,0.0,0.0,0,0.0,0.0,Aston Villa
Jamaldeen Jimoh,ENG,MF,0.0,0.0,0,0.0,0.0,Aston Villa
Sil Swinkels,NED,DF,0.0,0.0,0,0.0,0.0,Aston Villa
Kadan Young,ENG,MF,0.0,0.0,0,0.0,0.0,Aston Villa
Oliwier Zych,POL,GK,0.0,0.0,0,0.0,0.0,Aston Villa
Milos Kerkez,HUN,DF,2.0,5.0,38,4.0,0.0,Bournemouth
Antoine Semenyo,GHA,FW,11.0,5.0,37,9.0,0.0,Bournemouth
Illia Zabarnyi,UKR,DF,0.0,1.0,36,4.0,1.0,Bournemouth
Lewis Cook,ENG,"MF,DF",1.0,3.0,36,8.0,1.0,Bournemouth
Kepa Arrizabalaga,ESP,GK,0.0,0.0,31,3.0,0.0,Bournemouth
Justin Kluivert,NED,MF,12.0,6.0,34,8.0,0.0,Bournemouth
Evanilson,BRA,FW,10.0,1.0,31,1.0,1.0,Bournemouth
Ryan Christie,SCO,MF,2.0,3.0,29,9.0,0.0,Bournemouth
Dean Huijsen,ESP,DF,3.0,2.0,32,10.0,0.0,Bournemouth
Dango Ouattara,BFA,FW,7.0,4.0,32,3.0,0.0,Bournemouth
Tyler Adams,USA,MF,0.0,3.0,28,7.0,0.0,Bournemouth
Marcus Tavernier,ENG,"FW,MF",3.0,5.0,29,6.0,0.0,Bournemouth
Adam Smith,ENG,DF,0.0,0.0,25,7.0,0.0,Bournemouth
Marcos Senesi,ARG,DF,0.0,0.0,17,5.0,0.0,Bournemouth
David Brooks,WAL,"FW,MF",2.0,0.0,29,3.0,0.0,Bournemouth
Alex Scott,ENG,MF,0.0,0.0,20,3.0,0.0,Bournemouth
Julian Araujo,MEX,DF,0.0,0.0,12,2.0,0.0,Bournemouth
James Hill,ENG,DF,0.0,1.0,10,1.0,0.0,Bournemouth
Mark Travers,IRL,GK,0.0,0.0,5,0.0,0.0,Bournemouth
Enes Ünal,TUR,"FW,MF",2.0,1.0,17,2.0,0.0,Bournemouth
Neto,BRA,GK,0.0,0.0,2,0.0,0.0,Bournemouth
Luis Sinisterra,COL,"FW,MF",1.0,1.0,12,0.0,0.0,Bournemouth
Philip Billing,DEN,MF,0.0,0.0,10,1.0,0.0,Bournemouth
Max Aarons,ENG,DF,0.0,0.0,3,0.0,0.0,Bournemouth
Daniel Jebbison,CAN,FW,1.0,0.0,16,1.0,0.0,Bournemouth
Ben Winterburn,ENG,"MF,FW",0.0,0.0,4,0.0,0.0,Bournemouth
Julio Soler,ARG,"DF,FW",0.0,0.0,3,0.0,0.0,Bournemouth
Remy Rees-Dottin,ENG,FW,0.0,0.0,1,0.0,0.0,Bournemouth
Zain Silcott-Duberry,MSR,FW,0.0,0.0,1,0.0,0.0,Bournemouth
Daniel Adu-Adjei,ENG,FW,0.0,0.0,0,0.0,0.0,Bournemouth
Matai Akinmboni,USA,DF,0.0,0.0,0,0.0,0.0,Bournemouth
Jaidon Anthony,ENG,"FW,MF",0.0,0.0,0,0.0,0.0,Bournemouth
Will Dennis,ENG,GK,0.0,0.0,0,0.0,0.0,Bournemouth
Archie Harris,WAL,DF,0.0,0.0,0,0.0,0.0,Bournemouth
Hamed Junior Traorè,CIV,"FW,MF",0.0,0.0,0,0.0,0.0,Bournemouth
Callan Mckenna,SCO,GK,0.0,0.0,0,0.0,0.0,Bournemouth
Dominic Sadi,ENG,MF,0.0,0.0,0,0.0,0.0,Bournemouth
Maxwell Wellings,ENG,DF,0.0,0.0,0,0.0,0.0,Bournemouth
Nathan Collins,IRL,DF,2.0,3.0,38,5.0,0.0,Brentford
Bryan Mbeumo,CMR,FW,20.0,7.0,38,3.0,0.0,Brentford
Mark Flekken,NED,GK,0.0,2.0,37,1.0,0.0,Brentford
Keane Lewis-Potter,ENG,"DF,FW",1.0,3.0,38,7.0,0.0,Brentford
Yoane Wissa,COD,FW,19.0,4.0,35,5.0,0.0,Brentford
Mikkel Damsgaard,DEN,"MF,FW",2.0,10.0,38,2.0,0.0,Brentford
Christian Nørgaard,DEN,MF,5.0,4.0,34,8.0,1.0,Brentford
Sepp van den Berg,NED,DF,0.0,0.0,31,3.0,0.0,Brentford
Vitaly Janelt,GER,MF,1.0,3.0,32,3.0,0.0,Brentford
Kevin Schade,GER,FW,11.0,2.0,38,3.0,0.0,Brentford
Ethan Pinnock,JAM,DF,2.0,0.0,22,2.0,0.0,Brentford
