,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
0,David Raya,ESP,GK,28.0,38,38,3420,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Arsenal
1,William Saliba,FRA,DF,23.0,35,35,3039,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,Arsenal
2,Declan Rice,ENG,MF,25.0,35,33,2825,31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,Arsenal
3,Thomas Partey,GHA,"MF,DF",31.0,35,31,2797,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,Arsenal
4,Leandro Trossard,BEL,FW,29.0,38,28,2546,28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,Arsenal
5,Gabriel Magalhães,BRA,DF,26.0,28,28,2363,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,Arsenal
6,Jurriën Timber,NED,DF,23.0,30,27,2417,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,Arsenal
7,Martin Ødegaard,NOR,MF,25.0,30,26,2325,25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,Arsenal
8,Gabriel Martinelli,BRA,"FW,MF",23.0,33,25,2290,25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,Arsenal
9,Kai Havertz,GER,"FW,MF",25.0,23,21,1875,20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,Arsenal
10,Bukayo Saka,ENG,"FW,MF",22.0,25,20,1729,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,Arsenal
11,Mikel Merino,ESP,"MF,FW",28.0,28,17,1586,17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,Arsenal
12,Myles Lewis-Skelly,ENG,DF,17.0,23,15,1369,15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,Arsenal
13,Ben White,ENG,DF,26.0,17,13,1198,13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Arsenal
14,Riccardo Calafiori,ITA,DF,22.0,19,11,983,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,Arsenal
15,Ethan Nwaneri,ENG,"FW,MF",17.0,26,11,895,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,Arsenal
16,Jakub Kiwior,POL,DF,24.0,17,10,1122,12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Arsenal
17,Jorginho,ITA,MF,32.0,15,9,704,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Arsenal
18,Raheem Sterling,ENG,"FW,MF",29.0,17,7,499,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,Arsenal
19,Gabriel Jesus,BRA,FW,27.0,17,6,608,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,Arsenal
20,Oleksandr Zinchenko,UKR,"DF,MF",27.0,15,5,527,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Arsenal
21,Kieran Tierney,SCO,"DF,FW",27.0,13,2,259,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Arsenal
22,Nathan Butler-Oyedeji,ENG,FW,21.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
23,Takehiro Tomiyasu,JPN,DF,25.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
24,Reiss Nelson,ENG,FW,24.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
25,Brayden Clarke,WAL,DF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
26,Jimi Gower,ENG,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
27,Ayden Heaven,ENG,DF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
28,Jack Henry-Francis,IRL,MF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
29,Ismeal Kabia,ENG,MF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
30,Maldini Kacurri,ALB,DF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
31,Neto,BRA,GK,35.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
32,Josh Nichols,ENG,DF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
33,Eddie Nketiah,ENG,FW,25.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
34,Salah Oulad M'Hand,NED,MF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
35,Jack Porter,ENG,GK,16.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
36,Aaron Ramsdale,ENG,GK,26.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
37,Tommy Setford,ENG,GK,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
38,Emiliano Martínez,ARG,GK,31.0,37,37,3194,35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,Aston Villa
