Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Emiliano Martínez,ar ARG,GK,31,37,37,"3,194",35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,Aston Villa
Morgan Rogers,eng ENG,"FW,MF",22,37,37,"3,114",34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0,Aston Villa
Youri Tielemans,be BEL,MF,27,36,35,"3,026",33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,Aston Villa
Ezri Konsa,eng ENG,DF,26,34,33,"2,936",32.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Aston Villa
Ollie Watkins,eng ENG,FW,28,38,31,"2,598",28.9,16.0,8.0,24.0,14.0,2.0,2.0,2.0,0.0,Aston Villa
Lucas Digne,fr FRA,DF,31,32,28,"2,351",26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Aston Villa
John McGinn,sct SCO,"MF,FW",29,34,27,"2,223",24.7,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,Aston Villa
Matty Cash,pl POL,DF,26,27,24,"2,070",23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,Aston Villa
Pau Torres,es ESP,DF,27,24,23,"2,020",22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
Boubacar Kamara,fr FRA,MF,24,26,20,"1,726",19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,Aston Villa
Amadou Onana,be BEL,MF,22,26,20,"1,617",18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,Aston Villa
Jacob Ramsey,eng ENG,"FW,MF",23,29,19,"1,623",18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,Aston Villa
Leon Bailey,jm JAM,"FW,MF",26,24,14,"1,139",12.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,Aston Villa
Tyrone Mings,eng ENG,DF,31,14,12,"1,120",12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
Ian Maatsen,nl NED,DF,22,29,10,"1,139",12.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,Aston Villa
Marco Asensio,es ESP,MF,28,13,9,743,8.3,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,Aston Villa
Diego Carlos,br BRA,DF,31,10,8,830,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
Axel Disasi,fr FRA,DF,26,7,5,490,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
Lamare Bogarde,nl NED,"DF,MF",20,8,5,476,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
Andrés García,es ESP,"DF,MF",21,7,5,318,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Jáder Durán,co COL,FW,20,20,4,638,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,Aston Villa
Marcus Rashford,eng ENG,FW,26,10,4,444,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,Aston Villa
Ross Barkley,eng ENG,MF,30,20,3,581,6.5,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,Aston Villa
Jaden Philogene Bidace,eng ENG,"FW,MF",22,11,2,332,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Aston Villa
Donyell Malen,nl NED,FW,25,14,2,305,3.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,Aston Villa
Robin Olsen,se SWE,GK,34,4,1,226,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Kosta Nedeljković,rs SRB,DF,18,5,0,126,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Emi Buendía,ar ARG,"MF,FW",27,12,0,98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
Benjamin Broggio,eng ENG,FW,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Joe Gauci,au AUS,GK,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Jamaldeen Jimoh,eng ENG,MF,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Sil Swinkels,nl NED,DF,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Kadan Young,eng ENG,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Oliwier Zych,pl POL,GK,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
