Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Milos Kerkez,hu HUN,DF,20,38,38,"3,336",37.1,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,Bournemouth
Antoine Semenyo,gh GHA,FW,24,37,36,"3,203",35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,Bournemouth
Illia Zabarnyi,ua UKR,DF,21,36,35,"3,109",34.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,Bournemouth
Lewis Cook,eng ENG,"MF,DF",27,36,32,"2,978",33.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,Bournemouth
Kepa Arrizabalaga,es ESP,GK,29,31,31,"2,790",31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Bournemouth
Justin Kluivert,nl NED,MF,25,34,29,"2,340",26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,Bournemouth
Evanilson,br BRA,FW,24,31,28,"2,319",25.8,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,Bournemouth
Ryan Christie,sct SCO,MF,29,29,27,"2,117",23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,Bournemouth
Dean Huijsen,es ESP,DF,19,32,26,"2,427",27.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,Bournemouth
Dango Ouattara,bf BFA,FW,22,32,21,"2,005",22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,Bournemouth
Tyler Adams,us USA,MF,25,28,21,"1,965",21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,Bournemouth
Marcus Tavernier,eng ENG,"FW,MF",25,29,20,"1,939",21.5,3.0,5.0,8.0,3.0,0.0,0.0,6.0,0.0,Bournemouth
Adam Smith,eng ENG,DF,33,25,19,"1,590",17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Bournemouth
Marcos Senesi,ar ARG,DF,27,17,13,"1,106",12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Bournemouth
David Brooks,wls WAL,"FW,MF",27,29,9,960,10.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,Bournemouth
Alex Scott,eng ENG,MF,20,20,8,755,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Bournemouth
Julian Araujo,mx MEX,DF,22,12,7,497,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Bournemouth
James Hill,eng ENG,DF,22,10,6,448,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Bournemouth
Mark Travers,ie IRL,GK,25,5,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Enes Ünal,tr TUR,"FW,MF",27,17,2,345,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,Bournemouth
Neto,br BRA,GK,35,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Luis Sinisterra,co COL,"FW,MF",25,12,1,236,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Bournemouth
Philip Billing,dk DEN,MF,28,10,1,184,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bournemouth
Max Aarons,eng ENG,DF,24,3,1,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Daniel Jebbison,ca CAN,FW,20,16,0,119,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Bournemouth
Ben Winterburn,eng ENG,"MF,FW",19,4,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Julio Soler,ar ARG,"DF,FW",19,3,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Remy Rees-Dottin,eng ENG,FW,18,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Zain Silcott-Duberry,ms MSR,FW,19,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Daniel Adu-Adjei,eng ENG,FW,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Matai Akinmboni,us USA,DF,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Jaidon Anthony,eng ENG,"FW,MF",24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Will Dennis,eng ENG,GK,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Archie Harris,wls WAL,DF,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Hamed Junior Traorè,ci CIV,"FW,MF",24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Callan Mckenna,sct SCO,GK,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Dominic Sadi,eng ENG,MF,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Maxwell Wellings,eng ENG,DF,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
