Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Nathan Collins,ie IRL,DF,23,38,38,"3,420",38.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,Brentford
Bryan Mbeumo,cm CMR,FW,24,38,38,"3,414",37.9,20.0,7.0,27.0,15.0,5.0,6.0,3.0,0.0,Brentford
Mark Flekken,nl NED,GK,31,37,37,"3,275",36.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,Brentford
Keane Lewis-Potter,eng ENG,"DF,FW",23,38,36,"3,093",34.4,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,Brentford
Yoane Wissa,cd COD,FW,27,35,34,"2,919",32.4,19.0,4.0,23.0,19.0,0.0,0.0,5.0,0.0,Brentford
Mikkel Damsgaard,dk DEN,"MF,FW",24,38,34,"2,911",32.3,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,Brentford
Christian Nørgaard,dk DEN,MF,30,34,34,"2,819",31.3,5.0,4.0,9.0,5.0,0.0,0.0,8.0,1.0,Brentford
Sepp van den Berg,nl NED,DF,22,31,29,"2,586",28.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Brentford
Vitaly Janelt,de GER,MF,26,32,27,"2,254",25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,Brentford
Kevin Schade,de GER,FW,22,38,26,"2,293",25.5,11.0,2.0,13.0,11.0,0.0,0.0,3.0,0.0,Brentford
Ethan Pinnock,jm JAM,DF,31,22,21,"1,913",21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,Brentford
Kristoffer Ajer,no NOR,DF,26,24,17,"1,438",16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brentford
Yehor Yarmoliuk,ua UKR,MF,20,31,15,"1,450",16.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Brentford
Mads Roerslev,dk DEN,DF,25,19,11,"1,101",12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Brentford
Mathias Jensen,dk DEN,MF,28,24,8,862,9.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Brentford
Michael Kayode,it ITA,DF,20,12,6,528,5.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Brentford
Fabio Carvalho,pt POR,"FW,MF",21,19,3,455,5.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,Brentford
Ben Mee,eng ENG,DF,34,7,2,183,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Brentford
Thiago,br BRA,"FW,MF",23,8,1,175,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Hákon Valdimarsson,is ISL,GK,22,2,1,145,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Edmond-Paris Maghoma,eng ENG,"MF,FW",23,8,0,119,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Rico Henry,eng ENG,DF,27,5,0,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Yunus Emre Konak,tr TUR,"FW,MF",18,10,0,42,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Kim Jisoo,kr KOR,DF,19,3,0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Frank Onyeka,ng NGA,MF,26,2,0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Gustavo Nunes,br BRA,"FW,MF",18,3,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Jayden Meghoma,eng ENG,DF,18,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Ryan Trevitt,eng ENG,MF,21,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Benjamin Arthur,eng ENG,DF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Julian Eyestone,us USA,GK,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Benjamin Fredrick,ng NGA,DF,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Aaron Hickey,sct SCO,"DF,MF",22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Iwan Morgan,wls WAL,FW,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Myles Peart-Harris,eng ENG,MF,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Tony Yogane,eng ENG,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
