Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Bart Verbruggen,nl NED,GK,21,36,36,"3,240",36.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Brighton
Jan Paul van Hecke,nl NED,DF,24,34,33,"2,958",32.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,Brighton
Carlos Baleba,cm CMR,MF,20,34,31,"2,661",29.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,Brighton
Kaoru Mitoma,jp JPN,"FW,MF",27,36,28,"2,603",28.9,10.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,Brighton
Pervis Estupiñán,ec ECU,DF,26,30,26,"2,402",26.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,Brighton
Danny Welbeck,eng ENG,FW,33,30,24,"2,115",23.5,10.0,4.0,14.0,9.0,1.0,1.0,5.0,0.0,Brighton
Lewis Dunk,eng ENG,DF,32,25,23,"2,083",23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brighton
João Pedro,br BRA,"FW,MF",22,27,23,"1,948",21.6,10.0,6.0,16.0,5.0,5.0,5.0,4.0,1.0,Brighton
Yasin Ayari,se SWE,MF,20,34,22,"1,965",21.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,Brighton
Jack Hinshelwood,eng ENG,"MF,DF",19,26,22,"1,842",20.5,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,Brighton
Yankuba Minteh,gm GAM,"FW,MF",20,32,20,"1,838",20.4,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,Brighton
Joël Veltman,nl NED,DF,32,21,19,"1,697",18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brighton
Georginio Rutter,fr FRA,"MF,FW",22,28,19,"1,656",18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,Brighton
Simon Adingra,ci CIV,"FW,MF",22,29,12,"1,097",12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,Brighton
Matt O'Riley,dk DEN,MF,23,21,11,938,10.4,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,Brighton
Adam Webster,eng ENG,DF,29,14,11,887,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brighton
Mats Wieffer,nl NED,"DF,MF",24,25,10,"1,015",11.3,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,Brighton
Igor,br BRA,DF,26,13,10,961,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Brighton
Tariq Lamptey,gh GHA,DF,23,15,10,860,9.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,Brighton
Brajan Gruda,de GER,"MF,FW",20,21,8,687,7.6,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,Brighton
Ferdi Kadioglu,tr TUR,"DF,MF",24,6,5,385,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Brighton
Diego Gómez,py PAR,MF,21,16,4,516,5.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Brighton
James Milner,eng ENG,MF,38,4,3,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brighton
Julio Enciso,py PAR,"MF,FW",20,12,2,294,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Evan Ferguson,ie IRL,FW,19,13,2,246,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Brighton
Jason Steele,eng ENG,GK,33,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Solly March,eng ENG,"FW,MF",30,8,1,168,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Brighton
Billy Gilmour,sct SCO,MF,23,2,1,98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Eiran Cashin,ie IRL,DF,22,2,0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Jakub Moder,pl POL,MF,25,4,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Jeremy Sarmiento,ec ECU,MF,22,1,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Harry Howell,eng ENG,FW,15,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Valentín Barco,ar ARG,"DF,MF",20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Killian Cahill,ie IRL,GK,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Joe Knight,eng ENG,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Ruairi Mcconville,nir NIR,DF,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Mark O'Mahony,ie IRL,FW,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Carl Rushworth,eng ENG,GK,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Imari Samuels,eng ENG,DF,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Freddie Simmonds,eng ENG,DF,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Jacob Slater,ie IRL,DF,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
Charlie Tasker,eng ENG,DF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
