Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Bruno Guimarães,br BRA,MF,26,38,38,"3,271",36.3,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,Newcastle Utd
Dan Burn,eng ENG,DF,32,37,37,"3,330",37.0,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,Newcastle Utd
Alexander Isak,se SWE,FW,24,34,34,"2,756",30.6,23.0,6.0,29.0,19.0,4.0,4.0,1.0,0.0,Newcastle Utd
Fabian Schär,ch SUI,DF,32,34,33,"2,934",32.6,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0,Newcastle Utd
Valentino Livramento,eng ENG,DF,21,37,32,"2,840",31.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Newcastle Utd
Jacob Murphy,eng ENG,FW,29,35,31,"2,360",26.2,8.0,12.0,20.0,8.0,0.0,0.0,4.0,0.0,Newcastle Utd
Joelinton,br BRA,"MF,FW",27,29,29,"2,393",26.6,4.0,3.0,7.0,4.0,0.0,0.0,10.0,0.0,Newcastle Utd
Sandro Tonali,it ITA,MF,24,36,28,"2,630",29.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,Newcastle Utd
Nick Pope,eng ENG,GK,32,28,28,"2,520",28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Newcastle Utd
Anthony Gordon,eng ENG,"FW,MF",23,34,28,"2,434",27.0,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,Newcastle Utd
Lewis Hall,eng ENG,DF,19,27,24,"2,189",24.3,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,Newcastle Utd
Harvey Barnes,eng ENG,FW,26,33,17,"1,755",19.5,9.0,4.0,13.0,9.0,0.0,0.0,0.0,0.0,Newcastle Utd
Kieran Trippier,eng ENG,DF,33,25,14,"1,309",14.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,Newcastle Utd
Joe Willock,eng ENG,"MF,FW",24,32,11,"1,086",12.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Newcastle Utd
Martin Dúbravka,sk SVK,GK,35,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
Sean Longstaff,eng ENG,MF,26,25,8,798,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Newcastle Utd
Sven Botman,nl NED,DF,24,8,6,412,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Newcastle Utd
Lloyd Kelly,eng ENG,DF,25,10,4,303,3.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Newcastle Utd
Callum Wilson,eng ENG,FW,32,18,2,370,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Newcastle Utd
Emil Krafth,se SWE,DF,29,12,2,342,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Newcastle Utd
Lewis Miley,eng ENG,MF,18,14,1,313,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Newcastle Utd
Miguel Almirón,py PAR,FW,30,9,1,157,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
William Osula,dk DEN,FW,20,14,0,134,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Newcastle Utd
Matt Targett,eng ENG,DF,28,2,0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
Jamaal Lascelles,eng ENG,DF,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
Alex Murphy,ie IRL,DF,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
Sean Neave,eng ENG,FW,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
John Ruddy,eng ENG,GK,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
Leo Shahar,eng ENG,DF,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
Odysseas Vlachodimos,gr GRE,GK,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle Utd
