Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Pedro Porro,es ESP,DF,24,33,28,"2,610",29.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,Tottenham
Dejan Kulusevski,se SWE,"MF,FW",24,32,27,"2,389",26.5,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,Tottenham
Dominic Solanke,eng ENG,FW,26,27,25,"2,201",24.5,9.0,3.0,12.0,8.0,1.0,1.0,0.0,0.0,Tottenham
Brennan Johnson,wls WAL,FW,23,33,24,"2,177",24.2,11.0,3.0,14.0,11.0,0.0,0.0,5.0,0.0,Tottenham
Guglielmo Vicario,it ITA,GK,27,24,24,"2,160",24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Tottenham
Son Heung-min,kr KOR,FW,32,30,24,"2,110",23.4,7.0,9.0,16.0,6.0,1.0,2.0,1.0,0.0,Tottenham
Destiny Udogie,it ITA,DF,21,25,24,"1,924",21.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Tottenham
Pape Matar Sarr,sn SEN,MF,21,36,22,"1,913",21.3,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,Tottenham
James Maddison,eng ENG,MF,27,31,21,"1,809",20.1,9.0,7.0,16.0,9.0,0.0,0.0,6.0,0.0,Tottenham
Rodrigo Bentancur,uy URU,MF,27,26,21,"1,645",18.3,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,Tottenham
Djed Spence,eng ENG,DF,23,25,19,"1,792",19.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,Tottenham
Archie Gray,eng ENG,"DF,MF",18,28,19,"1,751",19.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Tottenham
Cristian Romero,ar ARG,DF,26,18,18,"1,416",15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,Tottenham
Yves Bissouma,ml MLI,MF,27,28,16,"1,408",15.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,Tottenham
Ben Davies,wls WAL,DF,31,17,14,"1,331",14.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Tottenham
Radu Drăgușin,ro ROU,DF,22,16,14,"1,252",13.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Tottenham
Micky van de Ven,nl NED,DF,23,13,12,"1,015",11.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Tottenham
Lucas Bergvall,se SWE,MF,18,27,11,"1,212",13.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,Tottenham
Mathys Tel,fr FRA,FW,19,13,11,911,10.1,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,Tottenham
Wilson Odobert,fr FRA,"FW,MF",19,16,9,850,9.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Tottenham
Kevin Danso,at AUT,DF,25,10,9,842,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Fraser Forster,eng ENG,GK,36,7,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Antonín Kinský,cz CZE,GK,21,6,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Timo Werner,de GER,"FW,MF",28,18,4,516,5.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Richarlison,br BRA,FW,27,15,4,504,5.6,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,Tottenham
Mikey Moore,eng ENG,FW,16,10,3,366,4.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Sergio Reguilón,es ESP,DF,27,4,1,196,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Tottenham
Brandon Austin,eng ENG,GK,25,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Dane Scarlett,eng ENG,"FW,MF",20,3,0,34,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Alfie Dorrington,eng ENG,DF,19,1,0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Will Lankshear,eng ENG,"FW,MF",19,3,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Oyindamola Ajayi,eng ENG,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Dante Cassanova,jm JAM,DF,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Alfie Devine,eng ENG,MF,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Malachi Hardy,eng ENG,DF,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Maeson King,eng ENG,DF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Yang Minhyeok,kr KOR,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Callum Olusesi,eng ENG,MF,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Alfie Whiteman,eng ENG,GK,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
Luca Williams Barnett,eng ENG,FW,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham
